# Valentine & Davies -- Global models from sparse data: A robust estimate
#                       of Earth's residual topography spectrum
#
# Spherical harmonic expansion coefficients for mean of posterior Gaussian
# Process model derived from high accuracy spot data.
#
# NB. This file contains only (the square root of) the diagonal elements of
#     the posterior covariance matrix. The full posterior covariance matrix
#     can be generated using the code accompaning this paper.
#
# l - spherical harmonic degree
# m - spherical harmonic order
# y - spherical harmonic expansion coefficient (y_i, eq. 12)
# s - standard error on coefficient (sqrt(Sigma_{ii}), eq. 12)
#
# l      m         y            s
 28     -2     -0.01032       0.02015
 28     -1     -0.01026       0.02003
 28      0      0.00654       0.02015
 28      1      0.00471       0.02022
 28      2     -0.00780       0.02013
 28      3     -0.00290       0.02019
 28      4      0.00732       0.02022
 28      5      0.00259       0.02010
 28      6     -0.00006       0.02011
 28      7     -0.01508       0.02008
 28      8     -0.00210       0.02014
 28      9     -0.00887       0.02001
 28     10     -0.00339       0.02002
 28     11      0.01719       0.01985
 28     12      0.00944       0.01992
 28     13     -0.00358       0.02000
 28     14     -0.00960       0.02014
 28     15      0.00086       0.02015
 28     16      0.00403       0.02016
 28     17      0.00041       0.02022
 28     18      0.00279       0.02012
 28     19      0.00145       0.02012
 28     20      0.00351       0.02007
 28     21      0.01528       0.02003
 28     22     -0.00252       0.02005
 28     23      0.00199       0.02000
 28     24     -0.00330       0.02002
 28     25      0.00177       0.02005
 28     26      0.00815       0.02008
 28     27      0.00513       0.02018
 28     28      0.00639       0.02019
 29    -29      0.00201       0.01926
 29    -28     -0.00334       0.01922
 29    -27      0.00387       0.01918
 29    -26      0.00051       0.01914
 29    -25      0.00437       0.01907
 29    -24      0.00267       0.01907
 29    -23      0.00484       0.01915
 29    -22      0.00948       0.01906
 29    -21     -0.00238       0.01916
 29    -20      0.00712       0.01916
 29    -19      0.00189       0.01919
 29    -18      0.00088       0.01924
 29    -17      0.00255       0.01920
 29    -16     -0.00123       0.01920
 29    -15      0.00185       0.01927
 29    -14      0.01570       0.01910
 29    -13      0.00231       0.01905
 29    -12     -0.00661       0.01903
 29    -11     -0.00273       0.01918
 29    -10     -0.00339       0.01911
 29     -9      0.00877       0.01921
 29     -8     -0.00520       0.01910
 29     -7     -0.00133       0.01919
 29     -6     -0.00221       0.01923
 29     -5      0.00711       0.01915
 29     -4     -0.01020       0.01929
 29     -3      0.00404       0.01913
 29     -2     -0.00990       0.01919
 29     -1      0.00012       0.01904
 29      0      0.01056       0.01923
 29      1      0.00637       0.01926
 29      2      0.00502       0.01924
 29      3     -0.01177       0.01921
 29      4      0.00279       0.01924
 29      5      0.01029       0.01922
 29      6      0.00431       0.01914
 29      7      0.00279       0.01920
 29      8     -0.00937       0.01912
 29      9      0.00148       0.01918
 29     10     -0.01786       0.01904
 29     11      0.00706       0.01899
 29     12      0.01350       0.01899
 29     13      0.01459       0.01904
 29     14     -0.00080       0.01915
 29     15     -0.01195       0.01921
 29     16      0.00327       0.01922
 29     17     -0.00190       0.01923
 29     18      0.00184       0.01925
 29     19      0.00158       0.01920
 29     20      0.00010       0.01917
 29     21      0.00243       0.01908
 29     22      0.00283       0.01911
 29     23      0.00191       0.01905
 29     24      0.00090       0.01908
 29     25     -0.00361       0.01910
 29     26      0.00871       0.01913
 29     27      0.01371       0.01911
 29     28     -0.01189       0.01925
 29     29     -0.00175       0.01917
 30    -30     -0.00096       0.01830
 30    -29     -0.00614       0.01835
 30    -28      0.00470       0.01829
 30    -27      0.00216       0.01829
 30    -26     -0.00306       0.01822
 30    -25     -0.00581       0.01817
 30    -24      0.00430       0.01822
 30    -23      0.00552       0.01823
 30    -22      0.00295       0.01825
 30    -21     -0.00539       0.01831
 30    -20      0.00246       0.01829
 30    -19      0.00201       0.01837
 30    -18     -0.00565       0.01837
 30    -17     -0.00549       0.01829
 30    -16      0.00107       0.01835
 30    -15     -0.00045       0.01833
 30    -14      0.00286       0.01822
 30    -13     -0.00309       0.01816
 30    -12      0.00433       0.01825
 30    -11     -0.00336       0.01828
 30    -10      0.00282       0.01829
 30     -9     -0.00279       0.01827
 30     -8     -0.00623       0.01825
 30     -7      0.00360       0.01836
 30     -6      0.00672       0.01832
 30     -5     -0.00468       0.01832
 30     -4     -0.00271       0.01838
 30     -3     -0.01271       0.01828
 30     -2     -0.00013       0.01832
 30     -1      0.00342       0.01821
 30      0     -0.00101       0.01834
 30      1      0.00240       0.01838
 30      2      0.00672       0.01832
 30      3     -0.00167       0.01836
 30      4     -0.00403       0.01831
 30      5      0.00288       0.01839
 30      6      0.00641       0.01823
 30      7     -0.00118       0.01832
 30      8     -0.01110       0.01827
 30      9     -0.00115       0.01827
 30     10     -0.00072       0.01829
 30     11      0.00091       0.01809
 30     12      0.00438       0.01817
 30     13      0.00301       0.01813
 30     14     -0.00209       0.01824
 30     15     -0.00387       0.01828
 30     16     -0.00260       0.01839
 30     17     -0.00674       0.01836
 30     18     -0.00430       0.01832
 30     19      0.00581       0.01834
 30     20      0.00847       0.01832
 30     21     -0.00528       0.01825
 30     22     -0.00316       0.01823
 30     23     -0.00544       0.01820
 30     24     -0.00338       0.01824
 30     25     -0.00483       0.01824
 30     26      0.00711       0.01822
 30     27      0.01052       0.01825
 30     28      0.00367       0.01826
 30     29     -0.00728       0.01836
 30     30     -0.00022       0.01837
