# Valentine & Davies -- Global models from sparse data: A robust estimate
#                       of Earth's residual topography spectrum
#
# Spherical harmonic expansion coefficients for mean of posterior Gaussian
# Process model derived from high accuracy spot data.
#
# NB. This file contains only (the square root of) the diagonal elements of
#     the posterior covariance matrix. The full posterior covariance matrix
#     can be generated using the code accompaning this paper.
#
# l - spherical harmonic degree
# m - spherical harmonic order
# y - spherical harmonic expansion coefficient (y_i, eq. 12)
# s - standard error on coefficient (sqrt(Sigma_{ii}), eq. 12)
#
# l      m         y            s
 13      2      0.01299       0.05311
 13      3     -0.01518       0.05294
 13      4     -0.01384       0.05171
 13      5      0.01563       0.05174
 13      6     -0.02758       0.05155
 13      7     -0.02659       0.05322
 13      8      0.00704       0.05264
 13      9     -0.00766       0.05254
 13     10      0.00102       0.05186
 13     11      0.01526       0.05112
 13     12      0.02656       0.05254
 13     13     -0.00398       0.05388
 14    -14     -0.06774       0.04914
 14    -13      0.01960       0.04760
 14    -12     -0.03252       0.04758
 14    -11      0.00129       0.04843
 14    -10     -0.00141       0.04826
 14     -9     -0.01514       0.04868
 14     -8      0.01762       0.04883
 14     -7      0.00098       0.04829
 14     -6      0.02324       0.04805
 14     -5     -0.00969       0.04701
 14     -4      0.05528       0.04869
 14     -3     -0.03985       0.04877
 14     -2      0.02463       0.04940
 14     -1      0.00290       0.04882
 14      0     -0.00979       0.04868
 14      1      0.03551       0.04955
 14      2     -0.02678       0.04875
 14      3      0.00577       0.04898
 14      4     -0.01540       0.04793
 14      5      0.02757       0.04754
 14      6      0.00325       0.04751
 14      7      0.01596       0.04863
 14      8      0.02121       0.04898
 14      9      0.00167       0.04837
 14     10      0.04266       0.04845
 14     11     -0.01787       0.04760
 14     12     -0.00093       0.04779
 14     13     -0.00629       0.04917
 14     14      0.00994       0.04893
 15    -15     -0.05272       0.04529
 15    -14      0.03047       0.04472
 15    -13      0.00677       0.04364
 15    -12     -0.00047       0.04437
 15    -11     -0.00735       0.04499
 15    -10     -0.00530       0.04484
 15     -9     -0.00268       0.04532
 15     -8     -0.01734       0.04501
 15     -7      0.00148       0.04450
 15     -6     -0.00137       0.04435
 15     -5      0.01375       0.04382
 15     -4     -0.02961       0.04511
 15     -3     -0.02729       0.04501
 15     -2     -0.01393       0.04558
 15     -1      0.01751       0.04488
 15      0      0.01399       0.04502
 15      1     -0.00536       0.04557
 15      2      0.00205       0.04503
 15      3     -0.00988       0.04509
 15      4      0.00117       0.04464
 15      5     -0.01359       0.04419
 15      6      0.02359       0.04329
 15      7     -0.01810       0.04453
 15      8     -0.00660       0.04490
 15      9     -0.01106       0.04485
 15     10      0.02216       0.04462
 15     11     -0.02482       0.04420
 15     12     -0.00974       0.04426
 15     13     -0.01018       0.04460
 15     14     -0.03476       0.04484
 15     15      0.00184       0.04517
 16    -16     -0.01213       0.04181
 16    -15      0.00533       0.04178
 16    -14      0.02798       0.04106
 16    -13      0.01968       0.04071
 16    -12      0.02691       0.04115
 16    -11     -0.01214       0.04155
 16    -10     -0.02344       0.04188
 16     -9      0.03005       0.04170
 16     -8     -0.01736       0.04143
