# Valentine & Davies -- Global models from sparse data: A robust estimate
#                       of Earth's residual topography spectrum
#
# Spherical harmonic expansion coefficients for mean of posterior Gaussian
# Process model derived from all spot data.
#
# NB. This file contains only (the square root of) the diagonal elements of
#     the posterior covariance matrix. The full posterior covariance matrix
#     can be generated using the code accompaning this paper.
#
# l - spherical harmonic degree
# m - spherical harmonic order
# y - spherical harmonic expansion coefficient (y_i, eq. 12)
# s - standard error on coefficient (sqrt(Sigma_{ii}), eq. 12)
#
# l      m         y            s
 13      2      0.06103       0.05152
 13      3     -0.00666       0.05088
 13      4     -0.00648       0.05034
 13      5      0.07932       0.04922
 13      6     -0.06648       0.04960
 13      7      0.01713       0.05128
 13      8     -0.01448       0.05060
 13      9     -0.00248       0.04977
 13     10      0.00143       0.04832
 13     11      0.00937       0.04762
 13     12      0.06342       0.04858
 13     13      0.01527       0.05043
 14    -14     -0.10832       0.04628
 14    -13      0.01384       0.04441
 14    -12     -0.05153       0.04480
 14    -11     -0.02848       0.04591
 14    -10      0.04223       0.04599
 14     -9      0.01239       0.04711
 14     -8      0.01460       0.04815
 14     -7     -0.00244       0.04735
 14     -6      0.01002       0.04618
 14     -5     -0.01505       0.04554
 14     -4      0.06680       0.04721
 14     -3     -0.04847       0.04777
 14     -2      0.02528       0.04980
 14     -1     -0.02556       0.04779
 14      0     -0.00146       0.04804
 14      1      0.04963       0.05016
 14      2     -0.01324       0.04794
 14      3      0.00793       0.04791
 14      4     -0.02792       0.04688
 14      5      0.01631       0.04646
 14      6      0.04049       0.04559
 14      7      0.03135       0.04707
 14      8      0.03421       0.04749
 14      9      0.03444       0.04697
 14     10      0.05494       0.04599
 14     11      0.01297       0.04488
 14     12      0.03085       0.04523
 14     13      0.01620       0.04625
 14     14      0.00230       0.04698
 15    -15     -0.01978       0.04345
 15    -14      0.01849       0.04266
 15    -13     -0.00606       0.04153
 15    -12      0.02504       0.04262
 15    -11     -0.00555       0.04317
 15    -10     -0.03556       0.04384
 15     -9      0.03062       0.04452
 15     -8     -0.01041       0.04466
 15     -7     -0.00946       0.04338
 15     -6      0.02058       0.04308
 15     -5     -0.00930       0.04305
 15     -4     -0.00018       0.04444
 15     -3     -0.00129       0.04459
 15     -2      0.00476       0.04665
 15     -1      0.01310       0.04401
 15      0     -0.00825       0.04521
 15      1      0.00418       0.04605
 15      2     -0.02494       0.04501
 15      3     -0.02158       0.04452
 15      4      0.02607       0.04402
 15      5      0.00345       0.04323
 15      6      0.01882       0.04253
 15      7     -0.02405       0.04326
 15      8     -0.01575       0.04414
 15      9      0.02869       0.04432
 15     10      0.02257       0.04341
 15     11      0.01133       0.04244
 15     12     -0.02071       0.04236
 15     13     -0.02798       0.04287
 15     14     -0.05449       0.04246
 15     15     -0.03300       0.04386
 16    -16     -0.00146       0.04086
 16    -15      0.02264       0.03992
 16    -14      0.04730       0.03973
 16    -13      0.01828       0.03961
 16    -12      0.02914       0.04017
 16    -11      0.00625       0.04077
 16    -10     -0.00774       0.04138
 16     -9      0.02611       0.04138
 16     -8      0.00861       0.04087
 16     -7     -0.01781       0.04037
 16     -6      0.05951       0.04018
 16     -5     -0.03790       0.04094
 16     -4      0.03282       0.04134
 16     -3     -0.00854       0.04178
 16     -2     -0.02524       0.04345
 16     -1      0.01949       0.04097
 16      0     -0.03423       0.04221
 16      1     -0.01844       0.04294
 16      2      0.00179       0.04169
 16      3     -0.02628       0.04216
 16      4     -0.00254       0.04113
 16      5     -0.02784       0.04074
 16      6     -0.03503       0.03966
 16      7     -0.02612       0.04028
 16      8      0.02387       0.04094
 16      9     -0.01659       0.04188
 16     10      0.00680       0.04121
 16     11      0.01535       0.04046
 16     12     -0.00220       0.03982
 16     13      0.03266       0.04010
 16     14     -0.00930       0.03952
 16     15      0.01424       0.04007
 16     16      0.02983       0.04099
 17    -17     -0.06694       0.03838
 17    -16      0.02709       0.03772
 17    -15     -0.00306       0.03723
 17    -14     -0.00883       0.03751
 17    -13      0.02232       0.03754
 17    -12      0.00435       0.03814
 17    -11     -0.05021       0.03862
 17    -10      0.00674       0.03896
 17     -9     -0.02202       0.03860
 17     -8      0.01878       0.03803
 17     -7     -0.01016       0.03757
 17     -6     -0.04000       0.03798
 17     -5      0.01890       0.03858
 17     -4     -0.00087       0.03885
 17     -3      0.03737       0.03947
 17     -2     -0.02273       0.04022
 17     -1     -0.01907       0.03840
 17      0     -0.01316       0.03942
 17      1     -0.00475       0.04012
 17      2      0.00141       0.03903
 17      3      0.00246       0.03946
 17      4      0.00504       0.03856
 17      5      0.00817       0.03819
 17      6     -0.01080       0.03750
 17      7      0.01126       0.03732
 17      8     -0.02753       0.03828
 17      9     -0.03821       0.03851
 17     10      0.00615       0.03903
 17     11     -0.01198       0.03833
 17     12      0.01397       0.03777
 17     13     -0.00404       0.03745
 17     14     -0.03366       0.03741
 17     15      0.00505       0.03729
 17     16     -0.01506       0.03754
 17     17     -0.03401       0.03849
 18    -18      0.01114       0.03618
 18    -17      0.01595       0.03533
 18    -16     -0.00052       0.03506
 18    -15     -0.02450       0.03529
 18    -14     -0.04043       0.03525
 18    -13     -0.03491       0.03560
 18    -12     -0.01180       0.03586
 18    -11     -0.01285       0.03665
 18    -10      0.01250       0.03629
 18     -9     -0.00479       0.03611
 18     -8      0.00997       0.03540
 18     -7     -0.00106       0.03507
 18     -6      0.00684       0.03587
 18     -5      0.01332       0.03620
 18     -4     -0.01703       0.03649
 18     -3     -0.01099       0.03693
 18     -2     -0.01284       0.03750
 18     -1     -0.04907       0.03613
 18      0      0.03808       0.03683
 18      1      0.02014       0.03762
 18      2     -0.00759       0.03642
 18      3      0.01076       0.03724
 18      4      0.01640       0.03643
 18      5     -0.00079       0.03596
 18      6      0.02203       0.03553
 18      7     -0.01345       0.03527
 18      8     -0.03234       0.03554
 18      9     -0.00702       0.03606
 18     10     -0.03712       0.03632
 18     11     -0.02171       0.03641
 18     12     -0.03334       0.03603
 18     13     -0.00968       0.03558
 18     14      0.00573       0.03522
 18     15      0.00737       0.03523
 18     16     -0.00132       0.03512
 18     17      0.01865       0.03558
 18     18     -0.02857       0.03613
 19    -19     -0.00706       0.03387
 19    -18     -0.01108       0.03338
 19    -17      0.01367       0.03286
 19    -16      0.01768       0.03334
 19    -15     -0.01060       0.03327
 19    -14     -0.01136       0.03364
 19    -13     -0.03763       0.03362
 19    -12     -0.01456       0.03430
 19    -11      0.01235       0.03436
 19    -10     -0.02359       0.03403
 19     -9     -0.02872       0.03364
 19     -8      0.01521       0.03320
 19     -7      0.00615       0.03327
 19     -6     -0.00330       0.03395
 19     -5     -0.00709       0.03413
 19     -4      0.02207       0.03448
 19     -3     -0.03192       0.03482
 19     -2     -0.01349       0.03516
 19     -1     -0.02832       0.03405
 19      0      0.00625       0.03443
 19      1      0.03066       0.03543
 19      2     -0.00669       0.03395
 19      3      0.02354       0.03492
 19      4     -0.00491       0.03429
 19      5      0.00206       0.03389
 19      6      0.05089       0.03345
 19      7      0.00689       0.03330
 19      8      0.00591       0.03307
 19      9      0.00551       0.03377
 19     10     -0.02757       0.03410
 19     11      0.00447       0.03404
 19     12     -0.00370       0.03421
 19     13      0.00673       0.03374
 19     14      0.00197       0.03330
 19     15     -0.00825       0.03311
 19     16     -0.01280       0.03316
 19     17     -0.02502       0.03334
 19     18     -0.01011       0.03352
 19     19     -0.00025       0.03425
 20    -20     -0.00359       0.03225
 20    -19     -0.01899       0.03157
 20    -18      0.00538       0.03141
 20    -17     -0.01695       0.03122
 20    -16     -0.03803       0.03136
 20    -15      0.01160       0.03170
 20    -14     -0.00586       0.03189
 20    -13      0.00199       0.03201
 20    -12     -0.02695       0.03239
 20    -11     -0.01436       0.03229
 20    -10     -0.00525       0.03202
 20     -9     -0.01463       0.03132
 20     -8     -0.03551       0.03116
 20     -7     -0.00118       0.03144
 20     -6      0.02501       0.03199
 20     -5      0.00532       0.03212
 20     -4      0.01596       0.03279
 20     -3      0.03191       0.03247
 20     -2     -0.00950       0.03307
 20     -1      0.01011       0.03203
 20      0      0.00337       0.03257
 20      1     -0.03458       0.03296
 20      2      0.01130       0.03230
 20      3     -0.00195       0.03271
 20      4     -0.00073       0.03248
 20      5     -0.01663       0.03190
 20      6     -0.02115       0.03185
 20      7      0.00794       0.03152
 20      8      0.02863       0.03140
 20      9      0.00769       0.03158
 20     10      0.03160       0.03201
 20     11     -0.02195       0.03199
 20     12      0.00751       0.03209
 20     13      0.01966       0.03232
 20     14     -0.02148       0.03143
 20     15     -0.00992       0.03141
 20     16     -0.00216       0.03128
 20     17      0.02947       0.03158
 20     18     -0.00195       0.03115
 20     19      0.00825       0.03165
 20     20      0.00157       0.03204
 21    -21     -0.00054       0.03030
 21    -20     -0.01485       0.03002
 21    -19     -0.00855       0.02951
 21    -18      0.00132       0.02977
 21    -17     -0.00731       0.02959
 21    -16     -0.00323       0.02996
 21    -15      0.02564       0.02994
 21    -14      0.01097       0.03040
 21    -13     -0.01691       0.03033
 21    -12     -0.00821       0.03034
 21    -11     -0.01620       0.03038
 21    -10      0.00395       0.02993
 21     -9     -0.01648       0.02957
 21     -8     -0.02065       0.02951
 21     -7      0.01833       0.02988
 21     -6     -0.00442       0.03020
 21     -5      0.02013       0.03057
 21     -4      0.01690       0.03086
 21     -3     -0.01560       0.03057
 21     -2     -0.00941       0.03121
 21     -1      0.00268       0.03002
