# Valentine & Davies -- Global models from sparse data: A robust estimate
#                       of Earth's residual topography spectrum
#
# Spherical harmonic expansion coefficients for mean of posterior Gaussian
# Process model derived from all spot and shiptrack data.
#
# NB. This file contains only (the square root of) the diagonal elements of
#     the posterior covariance matrix. The full posterior covariance matrix
#     can be generated using the code accompaning this paper.
#
# l - spherical harmonic degree
# m - spherical harmonic order
# y - spherical harmonic expansion coefficient (y_i, eq. 12)
# s - standard error on coefficient (sqrt(Sigma_{ii}), eq. 12)
#
# l      m         y            s
 28     -3     -0.02847       0.01557
 28     -2     -0.00184       0.01551
 28     -1     -0.01510       0.01461
 28      0     -0.01715       0.01542
 28      1     -0.00796       0.01613
 28      2     -0.02947       0.01546
 28      3     -0.00891       0.01539
 28      4      0.04998       0.01569
 28      5      0.01998       0.01547
 28      6     -0.02129       0.01539
 28      7      0.01275       0.01513
 28      8     -0.00481       0.01490
 28      9      0.00226       0.01455
 28     10      0.00122       0.01426
 28     11      0.00089       0.01395
 28     12      0.04253       0.01381
 28     13      0.00336       0.01374
 28     14     -0.02259       0.01363
 28     15      0.00076       0.01354
 28     16      0.01549       0.01358
 28     17      0.01027       0.01351
 28     18     -0.00938       0.01339
 28     19      0.01849       0.01331
 28     20     -0.00819       0.01323
 28     21      0.03495       0.01322
 28     22     -0.01699       0.01335
 28     23      0.00577       0.01347
 28     24      0.00456       0.01340
 28     25      0.00282       0.01367
 28     26      0.00029       0.01342
 28     27      0.01299       0.01362
 28     28     -0.00786       0.01363
 29    -29      0.02031       0.01302
 29    -28      0.00284       0.01282
 29    -27     -0.02723       0.01281
 29    -26      0.00058       0.01302
 29    -25      0.01713       0.01276
 29    -24     -0.02866       0.01287
 29    -23      0.01466       0.01275
 29    -22      0.01066       0.01255
 29    -21     -0.01699       0.01270
 29    -20      0.00317       0.01273
 29    -19      0.02129       0.01271
 29    -18     -0.00287       0.01286
 29    -17     -0.02240       0.01293
 29    -16     -0.00198       0.01295
 29    -15     -0.02298       0.01290
 29    -14      0.01756       0.01301
 29    -13     -0.02289       0.01311
 29    -12     -0.02965       0.01326
 29    -11     -0.00544       0.01348
 29    -10      0.01212       0.01360
 29     -9      0.01920       0.01396
 29     -8     -0.02466       0.01405
 29     -7     -0.01422       0.01438
 29     -6     -0.00340       0.01468
 29     -5      0.01148       0.01479
 29     -4     -0.00702       0.01464
 29     -3      0.01282       0.01478
 29     -2     -0.00250       0.01475
 29     -1     -0.02325       0.01384
 29      0      0.00966       0.01466
 29      1      0.00099       0.01535
 29      2     -0.02111       0.01469
 29      3     -0.02897       0.01465
 29      4     -0.00115       0.01490
 29      5      0.00394       0.01468
 29      6      0.03162       0.01464
 29      7      0.00145       0.01450
 29      8     -0.01416       0.01419
 29      9      0.00354       0.01397
 29     10     -0.03705       0.01367
 29     11      0.03018       0.01331
 29     12     -0.00081       0.01319
 29     13      0.00621       0.01309
 29     14     -0.00123       0.01303
 29     15     -0.01258       0.01298
 29     16      0.02034       0.01286
 29     17      0.00584       0.01293
 29     18      0.00627       0.01281
 29     19     -0.00168       0.01274
 29     20     -0.00196       0.01260
 29     21      0.02962       0.01257
 29     22      0.01160       0.01267
 29     23     -0.01670       0.01275
 29     24     -0.00224       0.01277
 29     25     -0.00815       0.01288
 29     26     -0.03242       0.01305
 29     27      0.01760       0.01289
 29     28     -0.02296       0.01281
 29     29     -0.01913       0.01303
 30    -30      0.02416       0.01237
 30    -29      0.00935       0.01227
 30    -28     -0.00275       0.01231
 30    -27      0.00645       0.01245
 30    -26     -0.02139       0.01227
 30    -25      0.01946       0.01218
 30    -24      0.02987       0.01222
 30    -23      0.00290       0.01204
 30    -22      0.01552       0.01204
 30    -21     -0.00971       0.01210
 30    -20     -0.01071       0.01215
 30    -19     -0.00681       0.01220
 30    -18      0.00850       0.01234
 30    -17     -0.00609       0.01231
 30    -16      0.01595       0.01234
 30    -15      0.00255       0.01235
 30    -14      0.00367       0.01245
 30    -13     -0.01154       0.01253
 30    -12      0.01630       0.01271
 30    -11      0.02491       0.01286
 30    -10      0.00122       0.01308
 30     -9     -0.02475       0.01332
 30     -8     -0.01243       0.01346
 30     -7      0.02439       0.01378
 30     -6     -0.00220       0.01395
 30     -5     -0.00306       0.01410
 30     -4     -0.00146       0.01391
 30     -3     -0.00326       0.01411
 30     -2     -0.02750       0.01401
 30     -1      0.01743       0.01324
 30      0      0.03448       0.01393
 30      1      0.00885       0.01460
 30      2      0.02776       0.01394
 30      3      0.00840       0.01395
 30      4     -0.01159       0.01416
 30      5      0.00159       0.01399
 30      6      0.03388       0.01396
 30      7     -0.01992       0.01388
 30      8      0.00080       0.01359
 30      9      0.00637       0.01335
 30     10      0.03687       0.01319
 30     11     -0.00421       0.01278
 30     12     -0.02243       0.01264
 30     13      0.01955       0.01254
 30     14      0.01250       0.01244
 30     15      0.00705       0.01240
 30     16     -0.02282       0.01229
 30     17     -0.01235       0.01231
 30     18     -0.00575       0.01228
 30     19      0.01501       0.01220
 30     20      0.03305       0.01208
 30     21     -0.02004       0.01203
 30     22     -0.00826       0.01206
 30     23     -0.01183       0.01206
 30     24     -0.00229       0.01216
 30     25     -0.03745       0.01230
 30     26      0.01827       0.01222
 30     27      0.02859       0.01244
 30     28      0.00086       0.01222
 30     29      0.00911       0.01224
 30     30     -0.00589       0.01251
