# Valentine & Davies -- Global models from sparse data: A robust estimate
#                       of Earth's residual topography spectrum
#
# Spherical harmonic expansion coefficients for mean of posterior Gaussian
# Process model derived from all spot and shiptrack data.
#
# NB. This file contains only (the square root of) the diagonal elements of
#     the posterior covariance matrix. The full posterior covariance matrix
#     can be generated using the code accompaning this paper.
#
# l - spherical harmonic degree
# m - spherical harmonic order
# y - spherical harmonic expansion coefficient (y_i, eq. 12)
# s - standard error on coefficient (sqrt(Sigma_{ii}), eq. 12)
#
# l      m         y            s
 13      2      0.07580       0.04163
 13      3      0.06053       0.03964
 13      4     -0.01385       0.03915
 13      5      0.14591       0.03759
 13      6     -0.03860       0.03670
 13      7     -0.00381       0.03647
 13      8     -0.05738       0.03543
 13      9      0.04800       0.03467
 13     10      0.00141       0.03400
 13     11     -0.01268       0.03488
 13     12      0.11927       0.03436
 13     13      0.00978       0.03420
 14    -14     -0.09293       0.03148
 14    -13      0.00641       0.03139
 14    -12     -0.03831       0.03225
 14    -11     -0.02779       0.03164
 14    -10      0.03096       0.03158
 14     -9      0.03142       0.03248
 14     -8      0.01968       0.03352
 14     -7     -0.00276       0.03408
 14     -6     -0.02807       0.03435
 14     -5     -0.02362       0.03469
 14     -4      0.06354       0.03612
 14     -3     -0.01483       0.03778
 14     -2      0.01119       0.03921
 14     -1     -0.10745       0.03624
 14      0     -0.02565       0.03838
 14      1     -0.00376       0.04153
 14      2      0.00890       0.03904
 14      3     -0.03251       0.03693
 14      4     -0.04341       0.03661
 14      5      0.02994       0.03482
 14      6      0.05280       0.03368
 14      7     -0.04935       0.03355
 14      8     -0.02433       0.03313
 14      9      0.01278       0.03224
 14     10      0.05980       0.03188
 14     11     -0.05456       0.03127
 14     12      0.03002       0.03256
 14     13      0.01650       0.03191
 14     14      0.00087       0.03178
 15    -15     -0.02200       0.02891
 15    -14      0.09058       0.02924
 15    -13     -0.06230       0.02981
 15    -12      0.04092       0.02920
 15    -11     -0.01792       0.02965
 15    -10     -0.07040       0.02975
 15     -9     -0.00877       0.03055
 15     -8      0.03048       0.03100
 15     -7      0.04374       0.03158
 15     -6      0.02694       0.03150
 15     -5     -0.07404       0.03266
 15     -4     -0.01883       0.03373
 15     -3     -0.01895       0.03541
 15     -2      0.07640       0.03637
 15     -1      0.01086       0.03311
 15      0      0.09306       0.03557
 15      1     -0.04662       0.03807
 15      2      0.03156       0.03607
 15      3      0.04103       0.03458
 15      4      0.00936       0.03375
 15      5      0.04320       0.03277
 15      6      0.00815       0.03143
 15      7      0.03033       0.03090
 15      8      0.04393       0.03101
 15      9     -0.00420       0.03037
 15     10     -0.01165       0.02962
 15     11      0.05234       0.02888
 15     12     -0.00457       0.02938
 15     13     -0.03305       0.03038
 15     14     -0.05686       0.02938
 15     15     -0.05523       0.02984
 16    -16      0.03432       0.02725
 16    -15      0.09805       0.02690
 16    -14      0.05330       0.02782
 16    -13      0.01817       0.02709
 16    -12      0.01927       0.02677
 16    -11      0.05858       0.02775
 16    -10      0.03646       0.02809
 16     -9     -0.00796       0.02851
 16     -8      0.00577       0.02891
 16     -7     -0.03389       0.02902
 16     -6      0.07862       0.02967
 16     -5     -0.04463       0.03082
 16     -4     -0.00730       0.03130
 16     -3     -0.01646       0.03314
 16     -2     -0.00558       0.03357
 16     -1      0.04796       0.03054
 16      0     -0.03775       0.03285
 16      1     -0.06109       0.03530
 16      2     -0.02129       0.03311
 16      3     -0.02384       0.03258
 16      4     -0.02288       0.03162
 16      5     -0.04608       0.03043
 16      6     -0.01174       0.02944
 16      7     -0.02211       0.02868
 16      8      0.02562       0.02869
 16      9     -0.02059       0.02851
 16     10      0.05660       0.02783
 16     11      0.01954       0.02701
